,Drug,Disease
14601,VENLAFAXINE,prostate adenocarcinoma
14604,SUNITINIB,prostate adenocarcinoma
14606,EVEROLIMUS,prostate cancer
14610,ETOPOSIDE,prostate cancer
14615,PREDNISOLONE,prostate carcinoma
14621,DASATINIB,prostate adenocarcinoma
14623,IPATASERTIB,metastatic prostate cancer
14626,BEVACIZUMAB,prostate adenocarcinoma
14635,ERGOCALCIFEROL,prostate cancer
14636,PEMBROLIZUMAB,prostate cancer
14638,IPILIMUMAB,prostate cancer
14648,THALIDOMIDE,prostate cancer
14656,NIVOLUMAB,prostate cancer
14657,ROSIGLITAZONE,prostate adenocarcinoma
14664,HYDROCORTISONE,prostate adenocarcinoma
14674,ATEZOLIZUMAB,prostate adenocarcinoma
14679,WARFARIN,prostate cancer
14681,PEMBROLIZUMAB,prostate adenocarcinoma
14685,RUCAPARIB,prostate cancer
14688,ESTRADIOL,prostate cancer
14689,NIRAPARIB,prostate cancer
14694,PREDNISOLONE,prostate adenocarcinoma
14702,ATORVASTATIN,metastatic prostate cancer
14704,DEXAMETHASONE,prostate adenocarcinoma
14707,OLAPARIB,prostate adenocarcinoma
14717,METHYLPREDNISOLONE,prostate cancer
14722,SARGRAMOSTIM,prostate cancer
14725,ATORVASTATIN,prostate cancer
14734,IXABEPILONE,prostate cancer
14735,NIRAPARIB,prostate adenocarcinoma
14736,PAZOPANIB,prostate adenocarcinoma
14737,SORAFENIB,prostate cancer
14738,ABEMACICLIB,prostate cancer
14739,DASATINIB,prostate cancer
14740,SARGRAMOSTIM,prostate adenocarcinoma
14742,CILENGITIDE,prostate cancer
14743,SUNITINIB,prostate cancer
14744,METFORMIN,prostate adenocarcinoma
14745,METFORMIN,prostate carcinoma
14746,NIVOLUMAB,prostate adenocarcinoma
14751,TALAZOPARIB,prostate cancer
14753,VANDETANIB,prostate cancer
14754,ALDESLEUKIN,prostate cancer
14755,ERIBULIN,prostate cancer
14757,METFORMIN,metastatic prostate cancer
14759,VINORELBINE,prostate cancer
14760,PAZOPANIB,prostate cancer
14762,ABIRATERONE,prostate carcinoma
14763,IXABEPILONE,prostate adenocarcinoma
14765,SORAFENIB,metastatic prostate cancer
14767,AZACITIDINE,prostate adenocarcinoma
14768,ERIBULIN,prostate adenocarcinoma
14769,IMATINIB,prostate cancer
14771,CELECOXIB,prostate cancer
14772,SORAFENIB,prostate adenocarcinoma
14773,VINFLUNINE,prostate cancer
14775,THALIDOMIDE,prostate adenocarcinoma
14776,FULVESTRANT,prostate adenocarcinoma
14780,SAGOPILONE,prostate cancer
14781,ERLOTINIB,prostate cancer
14785,VATALANIB,prostate cancer
14786,ERDAFITINIB,metastatic prostate cancer
14789,CAPECITABINE,prostate cancer
14792,CABAZITAXEL,metastatic prostate cancer
14796,OCTREOTIDE,prostate cancer
14797,SAMOTOLISIB,prostate cancer
14801,FULVESTRANT,prostate cancer
14802,CEDIRANIB,prostate cancer
14803,GEMCITABINE,prostate cancer
14805,OLAPARIB,prostate carcinoma
14806,CABOZANTINIB,prostate cancer
14814,CABAZITAXEL,prostate carcinoma
14815,PACLITAXEL,prostate adenocarcinoma
14816,TRETINOIN,prostate adenocarcinoma
14820,IPILIMUMAB,prostate adenocarcinoma
14826,CARVEDILOL,prostate cancer
14831,PACLITAXEL POLIGLUMEX,prostate adenocarcinoma
14832,VANDETANIB,prostate carcinoma
14836,NINTEDANIB,prostate adenocarcinoma
14847,PACLITAXEL POLIGLUMEX,prostate cancer
14848,AFATINIB,prostate adenocarcinoma
14849,PANITUMUMAB,prostate cancer
14857,COLCHICINE,prostate cancer
14864,CIXUTUMUMAB,prostate cancer
14869,BUPARLISIB,prostate cancer
14870,SUNITINIB,metastatic prostate cancer
14874,ISOTRETINOIN,prostate cancer
14875,CABOZANTINIB,prostate adenocarcinoma
14876,TANESPIMYCIN,prostate adenocarcinoma
14882,CETUXIMAB,prostate cancer
14886,AXITINIB,prostate cancer
14887,HYDROXYCHLOROQUINE,prostate cancer
14890,PASIREOTIDE,prostate cancer
14893,PHENTOLAMINE,prostate cancer
14897,ATORVASTATIN,prostate adenocarcinoma
14905,ALVOCIDIB,prostate cancer
14907,PAZOPANIB,prostate carcinoma
14908,POMALIDOMIDE,prostate cancer
14911,ADAVOSERTIB,prostate cancer
14926,ATEZOLIZUMAB,metastatic prostate cancer
14929,VORINOSTAT,prostate adenocarcinoma
14931,RETASPIMYCIN,prostate adenocarcinoma
14933,MK-2206,prostate carcinoma
14938,SARACATINIB,prostate cancer
14945,ASPIRIN,prostate adenocarcinoma
14947,TARENFLURBIL,prostate cancer
14949,TEMSIROLIMUS,prostate cancer
14959,LAPATINIB,prostate cancer
14962,INTERFERON ALFA-2B,prostate adenocarcinoma
14967,ETARACIZUMAB,prostate cancer
14969,BORTEZOMIB,prostate carcinoma
14981,CYTARABINE,prostate cancer
14990,PALBOCICLIB,prostate cancer
14991,DOVITINIB,prostate cancer
14995,IMATINIB,prostate adenocarcinoma
14997,BORTEZOMIB,prostate cancer
15002,DOCETAXEL,prostate carcinoma
15003,PANOBINOSTAT,prostate cancer
15005,TRASTUZUMAB,prostate cancer
15018,PERTUZUMAB,prostate cancer
15025,GEFITINIB,prostate cancer
15029,VENLAFAXINE,prostate cancer
15036,DIGOXIN,prostate cancer
15037,"ESTROGENS, CONJUGATED",prostate cancer
15038,VORINOSTAT,prostate cancer
15043,CEDIRANIB,prostate adenocarcinoma
15048,INTERFERON ALFA-2B,prostate cancer
15052,TREMELIMUMAB,prostate cancer
15057,ASPIRIN,prostate carcinoma
15059,DURVALUMAB,prostate cancer
15068,TIPIFARNIB,prostate cancer
15073,ROMIDEPSIN,prostate cancer
15085,CHOLECALCIFEROL,prostate cancer
15086,LESTAURTINIB,prostate cancer
15111,FILGRASTIM,metastatic prostate cancer
15131,SEMAXANIB,prostate cancer
15133,NAVITOCLAX,prostate cancer
15141,SIMVASTATIN,prostate carcinoma
15160,CARMUSTINE,prostate cancer
15169,PEMETREXED,prostate cancer
15179,MUPARFOSTAT,prostate cancer
15187,ROCURONIUM,prostate cancer
15192,TIVOZANIB,prostate cancer
15193,CAPIVASERTIB,prostate adenocarcinoma
15200,BEVACIZUMAB,prostate cancer
15201,BEVACIZUMAB,metastatic prostate cancer
15214,TALAZOPARIB,metastatic prostate cancer
15219,INDOMETHACIN,prostate adenocarcinoma
15241,METHYLPHENIDATE,prostate cancer
15251,ARSENIC TRIOXIDE,prostate cancer
15256,PEXIDARTINIB,prostate cancer
15267,ESTRADIOL,prostate carcinoma
15274,AVELUMAB,prostate cancer
15278,SIROLIMUS,prostate cancer
15302,ERDAFITINIB,prostate adenocarcinoma
15304,ATEZOLIZUMAB,prostate cancer
15311,RUXOLITINIB,prostate cancer
15319,PROPRANOLOL,prostate carcinoma
15326,NAPROXEN,prostate adenocarcinoma
15332,CIXUTUMUMAB,prostate adenocarcinoma
15336,TACROLIMUS,prostate cancer
15337,IPATASERTIB,prostate cancer
15340,"ESTROGENS, CONJUGATED",prostate carcinoma
15351,AZACITIDINE,prostate cancer
15359,LENALIDOMIDE,metastatic prostate cancer
15360,IPILIMUMAB,metastatic prostate cancer
15361,SARGRAMOSTIM,prostate carcinoma
15362,OMEPRAZOLE,prostate cancer
15365,ALDESLEUKIN,prostate adenocarcinoma
15371,VELIPARIB,prostate carcinoma
15372,METHYLPHENIDATE,prostate carcinoma
15381,CEMIPLIMAB,prostate cancer
15383,GANETESPIB,prostate adenocarcinoma
15420,TREMELIMUMAB,prostate adenocarcinoma
15435,MIFEPRISTONE,prostate adenocarcinoma
15455,LINSITINIB,prostate adenocarcinoma
15460,ERGOCALCIFEROL,prostate adenocarcinoma
15470,NIVOLUMAB,metastatic prostate cancer
15476,RAMUCIRUMAB,prostate cancer
15490,CETUXIMAB,prostate adenocarcinoma
15498,VALPROIC ACID,prostate cancer
15500,PEMBROLIZUMAB,Prostate Small Cell Carcinoma
15502,TOPOTECAN,prostate cancer
15514,SELINEXOR,prostate cancer
15523,AXITINIB,prostate adenocarcinoma
15528,CALCITRIOL,prostate adenocarcinoma
15538,CYCLOSPORINE,prostate cancer
15548,OLAPARIB,metastatic prostate cancer
15563,PIOGLITAZONE,prostate cancer
15572,DURVALUMAB,prostate adenocarcinoma
15579,METHYLPREDNISOLONE,metastatic prostate cancer
15585,CELECOXIB,prostate adenocarcinoma
15589,TOCILIZUMAB,prostate adenocarcinoma
15603,PEMBROLIZUMAB,metastatic prostate cancer
15618,PREDNISONE,Prostate Small Cell Carcinoma
15638,DOXORUBICIN,prostate adenocarcinoma
15663,ENTINOSTAT,prostate adenocarcinoma
15664,DASATINIB,metastatic prostate cancer
15667,UCN-01,prostate adenocarcinoma
15668,DACTOLISIB,prostate cancer
15669,AVELUMAB,metastatic prostate cancer
15670,BIRABRESIB,prostate cancer
15672,IMIQUIMOD,prostate adenocarcinoma
15673,RIBOCICLIB,prostate cancer
15674,RIBOCICLIB,metastatic prostate cancer
15675,FLUDARABINE PHOSPHATE,prostate cancer
15677,THEOPHYLLINE,prostate carcinoma
15678,UCN-01,prostate cancer
15679,APITOLISIB,prostate cancer
15680,INDOMETHACIN,metastatic prostate cancer
15683,PANOBINOSTAT,prostate adenocarcinoma
15685,CAFFEINE,prostate cancer
15687,MIFEPRISTONE,prostate cancer
15689,SIROLIMUS,metastatic prostate cancer
15691,PASIREOTIDE,prostate adenocarcinoma
15694,ETANERCEPT,prostate cancer
15698,INDOMETHACIN,prostate cancer
15699,DECITABINE,metastatic prostate cancer
15700,ROSUVASTATIN,prostate adenocarcinoma
15701,DEXAMETHASONE,prostate carcinoma
15703,VISTUSERTIB,prostate cancer
15704,FLUDARABINE PHOSPHATE,metastatic prostate cancer
15707,TEMSIROLIMUS,prostate adenocarcinoma
15708,LENVATINIB,prostate cancer
15712,TANESPIMYCIN,prostate cancer
15715,PIOGLITAZONE,prostate adenocarcinoma
15717,PEXIDARTINIB,prostate adenocarcinoma
15721,IRINOTECAN,prostate cancer
15723,LIOTHYRONINE,prostate cancer
15725,BUPROPION,prostate cancer
15727,GEFITINIB,metastatic prostate cancer
15733,MIDAZOLAM,prostate adenocarcinoma
15737,LENALIDOMIDE,prostate adenocarcinoma
15744,ROSUVASTATIN,prostate cancer
15758,INTERFERON GAMMA-1B,prostate cancer
15767,ORANTINIB,prostate cancer
15768,CRIZOTINIB,prostate cancer
15774,VELIPARIB,prostate cancer
15777,COPANLISIB,prostate cancer
15792,DEXTROMETHORPHAN,prostate cancer
15817,LITHIUM CARBONATE,prostate cancer
15828,TALAZOPARIB,prostate adenocarcinoma
15836,ZOLEDRONIC ACID,metastatic prostate cancer
15841,NIRAPARIB,metastatic prostate cancer
15856,IMIQUIMOD,prostate cancer
15857,BORTEZOMIB,prostate adenocarcinoma
15862,EPACADOSTAT,metastatic prostate cancer
15891,DEXTROMETHORPHAN,prostate carcinoma
15892,IPILIMUMAB,prostate carcinoma
15900,CANNABIDIOL,prostate adenocarcinoma
15922,RITUXIMAB,prostate cancer
15925,HYDROXYCHLOROQUINE,prostate carcinoma
15927,SIMVASTATIN,prostate cancer
15934,ACITRETIN,psoriasis
15936,ETANERCEPT,psoriasis
15937,ACITRETIN,psoriasis vulgaris
15940,APREMILAST,parapsoriasis
15943,APREMILAST,psoriasis
15944,DEXAMETHASONE,psoriasis
15945,APREMILAST,psoriasis vulgaris
15948,SECUKINUMAB,psoriasis vulgaris
15957,INFLIXIMAB,psoriasis
15958,METHOTREXATE,psoriasis
15967,CALCITRIOL,psoriasis
15968,ETANERCEPT,psoriasis vulgaris
15970,SECUKINUMAB,psoriasis
15974,USTEKINUMAB,psoriasis
15981,CALCITRIOL,psoriasis vulgaris
15990,ERGOCALCIFEROL,psoriasis
15991,METHOTREXATE,psoriasis vulgaris
15992,CYCLOSPORINE,psoriasis
15998,PREDNISOLONE,psoriasis
16012,PREDNISONE,psoriasis
16014,METFORMIN,psoriasis
16015,TOFACITINIB,psoriasis
16019,ATORVASTATIN,psoriasis
16021,ROFLUMILAST,psoriasis
16025,TACROLIMUS,psoriasis
16032,INFLIXIMAB,parapsoriasis
16040,USTEKINUMAB,Generalized pustular psoriasis
16044,HYDROCORTISONE,psoriasis vulgaris
16086,SOTRASTAURIN,psoriasis
16087,FLUDARABINE PHOSPHATE,psoriasis
16093,MASITINIB,psoriasis
16095,TOFACITINIB,psoriasis vulgaris
16096,ETARACIZUMAB,psoriasis
16097,THALIDOMIDE,psoriasis
16104,PACLITAXEL,psoriasis
16106,RUXOLITINIB,psoriasis
16109,ALITRETINOIN,psoriasis
16110,LESTAURTINIB,psoriasis
16112,CHOLECALCIFEROL,psoriasis
16115,AMISELIMOD,psoriasis
16117,BEXAROTENE,psoriasis
16122,ABATACEPT,psoriasis vulgaris
16125,BEXAROTENE,parapsoriasis
16131,ABATACEPT,psoriasis
16135,ERLOTINIB,psoriasis
16190,MYCOPHENOLATE MOFETIL,psoriasis
16210,PIOGLITAZONE,psoriasis
16216,MIDAZOLAM,psoriasis vulgaris
16217,NALTREXONE,psoriasis
16218,CAFFEINE,psoriasis
16219,MIDAZOLAM,psoriasis
16224,PAZOPANIB,psoriasis
16232,WARFARIN,psoriasis
16233,SIFALIMUMAB,psoriasis
16237,METOPROLOL,psoriasis
16241,OMEPRAZOLE,psoriasis
16258,DEXTROMETHORPHAN,psoriasis
16285,INTERFERON GAMMA-1B,psoriasis
16288,ERGOCALCIFEROL,psoriasis vulgaris
16289,DEXAMETHASONE,psoriasis vulgaris
16291,BOSENTAN,pulmonary arterial hypertension
16292,RANOLAZINE,pulmonary hypertension
16294,SILDENAFIL,pulmonary hypertension
16295,LIDOCAINE,pulmonary arterial hypertension
16296,BOSENTAN,Eisenmenger syndrome
16297,SILDENAFIL,pulmonary arterial hypertension
16300,AMBRISENTAN,pulmonary arterial hypertension
16303,RIOCIGUAT,Idiopathic and/or familial pulmonary arterial hypertension
16304,RIOCIGUAT,pulmonary arterial hypertension
16305,RIOCIGUAT,pulmonary hypertension
16307,AMBRISENTAN,Idiopathic and/or familial pulmonary arterial hypertension
16320,SILDENAFIL,Idiopathic and/or familial pulmonary arterial hypertension
16323,BOSENTAN,pulmonary hypertension
16343,BOSENTAN,Idiopathic and/or familial pulmonary arterial hypertension
16345,NITRIC OXIDE,persistent fetal circulation syndrome
16351,NITRIC OXIDE,pulmonary arterial hypertension
16352,IMATINIB,pulmonary arterial hypertension
16355,SILDENAFIL,persistent fetal circulation syndrome
16356,BARDOXOLONE METHYL,pulmonary hypertension
16360,NIFEDIPINE,pulmonary hypertension
16366,AMBRISENTAN,pulmonary hypertension
16368,SILDENAFIL,Eisenmenger syndrome
16375,BOSENTAN,persistent fetal circulation syndrome
16385,METFORMIN,pulmonary arterial hypertension
16386,IMATINIB,pulmonary hypertension
16388,ASPIRIN,pulmonary arterial hypertension
16389,CARVEDILOL,pulmonary arterial hypertension
16392,ACETAZOLAMIDE,pulmonary arterial hypertension
16402,DEXMEDETOMIDINE,pulmonary hypertension
16410,ANASTROZOLE,pulmonary arterial hypertension
16417,BARDOXOLONE METHYL,pulmonary arterial hypertension
16421,TOCILIZUMAB,pulmonary arterial hypertension
16441,FULVESTRANT,pulmonary arterial hypertension
16448,WARFARIN,pulmonary arterial hypertension
16450,TACROLIMUS,pulmonary arterial hypertension
16451,WARFARIN,pulmonary hypertension
16459,PIOGLITAZONE,pulmonary arterial hypertension
16460,NITRIC OXIDE,pulmonary hypertension
16465,VASOPRESSIN,pulmonary hypertension
16471,SIMVASTATIN,pulmonary arterial hypertension
16477,ATORVASTATIN,pulmonary arterial hypertension
16480,SILDENAFIL,Pulmonary arterial hypertension associated with portal hypertension
16491,CARVEDILOL,pulmonary hypertension
16492,SODIUM DICHLOROACETATE,pulmonary arterial hypertension
16494,THEOPHYLLINE,pulmonary arterial hypertension
16497,RANOLAZINE,pulmonary arterial hypertension
16499,OLAPARIB,pulmonary arterial hypertension
16502,SORAFENIB,pulmonary arterial hypertension
16514,SIROLIMUS,pulmonary hypertension
16515,SIMVASTATIN,pulmonary hypertension
16519,SULFASALAZINE,pulmonary arterial hypertension
16520,AMBRISENTAN,Pulmonary arterial hypertension associated with portal hypertension
16522,IMATINIB,Pulmonary venoocclusive disease
16538,BEVACIZUMAB,Pulmonary venoocclusive disease
16547,APABETALONE,pulmonary arterial hypertension
16549,HYDROXYUREA,pulmonary hypertension
16553,METHOTREXATE,rheumatoid arthritis
16554,INDOMETHACIN,ankylosing spondylitis
16555,METHYLPREDNISOLONE,psoriatic arthritis
16556,CELECOXIB,ankylosing spondylitis
16557,IBUPROFEN,rheumatoid arthritis
16558,SULFASALAZINE,rheumatoid arthritis
16559,INFLIXIMAB,rheumatoid arthritis
16560,ETANERCEPT,rheumatoid arthritis
16561,PREDNISONE,rheumatoid arthritis
16563,NAPROXEN,rheumatoid arthritis
16564,HYDROXYCHLOROQUINE,rheumatoid arthritis
16571,ABATACEPT,rheumatoid arthritis
16573,ETANERCEPT,ankylosing spondylitis
16574,PREDNISOLONE,rheumatoid arthritis
16576,CELECOXIB,rheumatoid arthritis
16577,RITUXIMAB,rheumatoid arthritis
16578,METHYLPREDNISOLONE,rheumatoid arthritis
16579,APREMILAST,psoriatic arthritis
16584,DICLOFENAC,rheumatoid arthritis
16585,TOFACITINIB,rheumatoid arthritis
16587,TOCILIZUMAB,rheumatoid arthritis
16591,SULFASALAZINE,ankylosing spondylitis
16594,NALTREXONE,rheumatoid arthritis
16595,USTEKINUMAB,psoriatic arthritis
16596,INFLIXIMAB,psoriatic arthritis
16597,METHOTREXATE,psoriatic arthritis
16598,TOFACITINIB,ankylosing spondylitis
16599,METHOTREXATE,ankylosing spondylitis
16601,ACETAMINOPHEN,rheumatoid arthritis
16608,UPADACITINIB,rheumatoid arthritis
16610,LIDOCAINE,ankylosing spondylitis
16611,CYCLOSPORINE,rheumatoid arthritis
16615,TACROLIMUS,rheumatoid arthritis
16621,NAPROXEN,ankylosing spondylitis
16623,SECUKINUMAB,ankylosing spondylitis
16625,INFLIXIMAB,ankylosing spondylitis
16642,DENOSUMAB,rheumatoid arthritis
16643,DICLOFENAC,ankylosing spondylitis
16645,ETANERCEPT,psoriatic arthritis
16651,DEXAMETHASONE,ankylosing spondylitis
16654,HYDROXYCHLOROQUINE,ankylosing spondylitis
16655,DEXAMETHASONE,rheumatoid arthritis
16661,DEXAMETHASONE,psoriatic arthritis
16663,DIPHENHYDRAMINE,rheumatoid arthritis
16664,PREDNISOLONE,ankylosing spondylitis
16672,SULFASALAZINE,psoriatic arthritis
16678,PREDNISONE,psoriatic arthritis
16679,OMEPRAZOLE,rheumatoid arthritis
16680,ERGOCALCIFEROL,rheumatoid arthritis
16688,PREDNISONE,ankylosing spondylitis
16692,SIMVASTATIN,rheumatoid arthritis
16699,ATORVASTATIN,rheumatoid arthritis
16703,SECUKINUMAB,psoriatic arthritis
16710,PREDNISOLONE,psoriatic arthritis
16713,APREMILAST,ankylosing spondylitis
16716,ABATACEPT,psoriatic arthritis
16717,ZOLEDRONIC ACID,rheumatoid arthritis
16718,USTEKINUMAB,ankylosing spondylitis
16719,TOFACITINIB,psoriatic arthritis
16728,SECUKINUMAB,rheumatoid arthritis
16729,PIOGLITAZONE,rheumatoid arthritis
16732,UPADACITINIB,psoriatic arthritis
16733,UPADACITINIB,ankylosing spondylitis
16738,OMEPRAZOLE,ankylosing spondylitis
16762,TOCILIZUMAB,ankylosing spondylitis
16767,DIPYRIDAMOLE,rheumatoid arthritis
16768,METFORMIN,rheumatoid arthritis
16773,BINIMETINIB,rheumatoid arthritis
16777,MASITINIB,rheumatoid arthritis
16778,ROSUVASTATIN,rheumatoid arthritis
16785,APREMILAST,rheumatoid arthritis
16788,FLUDARABINE PHOSPHATE,psoriatic arthritis
16794,PACLITAXEL,rheumatoid arthritis
16810,PF-06651600,rheumatoid arthritis
16818,ROSIGLITAZONE,rheumatoid arthritis
16831,ETARACIZUMAB,rheumatoid arthritis
16837,IMATINIB,rheumatoid arthritis
16840,THALIDOMIDE,ankylosing spondylitis
16845,ABATACEPT,ankylosing spondylitis
16904,RUXOLITINIB,rheumatoid arthritis
16920,TEMSIROLIMUS,rheumatoid arthritis
16921,NATALIZUMAB,rheumatoid arthritis
16941,USTEKINUMAB,rheumatoid arthritis
16942,CANNABIDIOL,psoriatic arthritis
16954,RITUXIMAB,ankylosing spondylitis
16957,METHYLPREDNISOLONE,ankylosing spondylitis
16984,MIDAZOLAM,rheumatoid arthritis
16988,FLUDARABINE PHOSPHATE,rheumatoid arthritis
16989,DIGOXIN,rheumatoid arthritis
16991,CAFFEINE,rheumatoid arthritis
16992,MYCOPHENOLATE MOFETIL,rheumatoid arthritis
17008,ALEMTUZUMAB,rheumatoid arthritis
17009,PEXIDARTINIB,rheumatoid arthritis
17028,WARFARIN,rheumatoid arthritis
17033,SARGRAMOSTIM,rheumatoid arthritis
17039,RITUXIMAB,psoriatic arthritis
17044,AMISULPRIDE,schizophrenia
17046,RISPERIDONE,schizophrenia
17050,METFORMIN,schizophrenia
17052,ARIPIPRAZOLE,schizophrenia
17054,OLANZAPINE,schizophrenia
17084,LITHIUM CARBONATE,schizophrenia
17095,KETAMINE,schizophrenia
17105,ACAMPROSATE,schizophrenia
17113,LORAZEPAM,schizophrenia
17140,LAMOTRIGINE,schizophrenia
17158,PROPOFOL,schizophrenia
17167,BUPROPION,schizophrenia
17168,MEMANTINE,schizophrenia
17179,VARENICLINE,schizophrenia
17187,VALPROIC ACID,schizophrenia
17197,NICOTINE,schizophrenia
17224,MELATONIN,schizophrenia
17252,SIMVASTATIN,schizophrenia
17298,ROSIGLITAZONE,schizophrenia
17307,TOCILIZUMAB,schizophrenia
17318,CHOLECALCIFEROL,schizophrenia
17319,SILDENAFIL,schizophrenia
17329,CELECOXIB,schizophrenia
17332,INFLIXIMAB,schizophrenia
17338,OXCARBAZEPINE,schizophrenia
17339,ALPRAZOLAM,schizophrenia
17346,ERLOSAMIDE,schizophrenia
17347,MIDAZOLAM,schizophrenia
17350,ASPIRIN,schizophrenia
17355,CLOBAZAM,schizophrenia
17357,DIAZEPAM,schizophrenia
17358,TOPIRAMATE,schizophrenia
17362,CARBAMAZEPINE,schizophrenia
17365,AMANTADINE,schizophrenia
17366,PHENYTOIN,schizophrenia
17377,ZONISAMIDE,schizophrenia
17379,CLONAZEPAM,schizophrenia
17387,BEXAROTENE,schizophrenia
17412,LEVETIRACETAM,schizophrenia
17469,VENLAFAXINE,schizophrenia
17513,DIPHENHYDRAMINE,schizophrenia
17569,FINGOLIMOD,schizophrenia
17576,DAVUNETIDE,schizophrenia
17581,DEXMEDETOMIDINE,schizophrenia
17584,RG3487,schizophrenia
17586,DEXTROMETHORPHAN,schizophrenia
17589,CANNABIDIOL,schizophrenia
17605,METHOTREXATE,schizophrenia
17609,ESTRADIOL,schizophrenia
17612,PREDNISOLONE,schizophrenia
17667,PENTOXIFYLLINE,schizophrenia
17673,ROFLUMILAST,schizophrenia
17674,NALTREXONE,schizophrenia
17684,NATALIZUMAB,schizophrenia
17706,RITUXIMAB,schizophrenia
17709,VORINOSTAT,schizophrenia
17718,DOCETAXEL,squamous cell carcinoma
17719,DENILEUKIN DIFTITOX,mycosis fungoides
17720,GEMCITABINE,extranodal nasal NK/T cell lymphoma
17721,ETOPOSIDE,extranodal nasal NK/T cell lymphoma
17723,ROMIDEPSIN,Cutaneous T-cell lymphoma
17724,DENILEUKIN DIFTITOX,Cutaneous T-cell lymphoma
17727,ACITRETIN,squamous cell carcinoma
17728,VINCRISTINE,adult T-cell leukemia/lymphoma
17731,ALDESLEUKIN,metastatic melanoma
17734,PEGINTERFERON ALFA-2B,melanoma
17735,PACLITAXEL,head and neck squamous cell carcinoma
17736,SARGRAMOSTIM,melanoma
17746,SIROLIMUS,skin cancer
17750,NIVOLUMAB,metastatic melanoma
17753,HYDROXYUREA,melanoma
17760,DENILEUKIN DIFTITOX,Sezary's disease
17761,METHOTREXATE,mycosis fungoides
17764,MYCOPHENOLATE MOFETIL,skin cancer
17769,CYCLOSPORINE,skin cancer
17770,PREDNISONE,mycosis fungoides
17773,INTERFERON ALFA-2B,mycosis fungoides
17774,VORINOSTAT,Cutaneous T-cell lymphoma
17778,IMIQUIMOD,basal cell carcinoma
17781,PEMBROLIZUMAB,head and neck squamous cell carcinoma
17785,IPILIMUMAB,melanoma
17787,IPILIMUMAB,metastatic melanoma
17789,PREDNISOLONE,mycosis fungoides
17792,BEXAROTENE,Cutaneous T-cell lymphoma
17799,DEXAMETHASONE,mycosis fungoides
17800,COBIMETINIB,metastatic melanoma
17806,DOXORUBICIN,adult T-cell leukemia/lymphoma
17810,DEXAMETHASONE,extranodal nasal NK/T cell lymphoma
17814,TACROLIMUS,skin cancer
17821,PREDNISONE,adult T-cell leukemia/lymphoma
17824,CEMIPLIMAB,squamous cell carcinoma
17827,PEMBROLIZUMAB,metastatic melanoma
17843,BINIMETINIB,metastatic melanoma
17847,INTERFERON ALFA-2B,melanoma
17853,DOCETAXEL,head and neck squamous cell carcinoma
17854,GEFITINIB,head and neck squamous cell carcinoma
17855,PEGINTERFERON ALFA-2B,cutaneous melanoma
17857,AFATINIB,head and neck squamous cell carcinoma
17859,PACLITAXEL,melanoma
17860,PACLITAXEL,cervical squamous cell carcinoma
17861,PACLITAXEL,squamous cell carcinoma
17863,AVELUMAB,head and neck squamous cell carcinoma
17865,SORAFENIB,mucosal melanoma
17867,ASPIRIN,squamous cell carcinoma
17868,PACLITAXEL,esophageal squamous cell carcinoma
17869,PACLITAXEL,mucosal melanoma
17871,IMIQUIMOD,non-melanoma skin carcinoma
17872,PACLITAXEL,endometrial adenosquamous carcinoma
17878,CYTARABINE,melanoma
17880,BRENTUXIMAB VEDOTIN,mycosis fungoides
17881,SORAFENIB,cutaneous melanoma
17883,THALIDOMIDE,extranodal nasal NK/T cell lymphoma
17884,BINIMETINIB,cutaneous melanoma
17886,BINIMETINIB,melanoma
17887,PACLITAXEL,cutaneous melanoma
17888,LENVATINIB,melanoma
17890,LIDOCAINE,Extramammary Paget Disease
17893,LENVATINIB,head and neck squamous cell carcinoma
17896,FLUDARABINE PHOSPHATE,metastatic melanoma
17897,METHOTREXATE,head and neck squamous cell carcinoma
17898,FLUOROURACIL,head and neck squamous cell carcinoma
17903,PACLITAXEL,squamous cell carcinoma of penis
17906,LENALIDOMIDE,melanoma
17910,SORAFENIB,melanoma
17918,NIVOLUMAB,melanoma
17919,MASITINIB,metastatic melanoma
17920,PEMBROLIZUMAB,squamous cell carcinoma
17925,FLUOROURACIL,esophageal squamous cell carcinoma
17927,CETUXIMAB,head and neck squamous cell carcinoma
17931,DOCETAXEL,esophageal squamous cell carcinoma
17932,DOXORUBICIN,extranodal nasal NK/T cell lymphoma
17933,TRETINOIN,squamous cell carcinoma
17941,VINORELBINE,cervical squamous cell carcinoma
17949,ALDESLEUKIN,cutaneous melanoma
17950,TRETINOIN,basal cell carcinoma
17952,GEMCITABINE,cervical squamous cell carcinoma
17954,TREMELIMUMAB,head and neck squamous cell carcinoma
17956,ERGOCALCIFEROL,cutaneous melanoma
17958,INDOMETHACIN,oral squamous cell carcinoma
17959,VINBLASTINE,cutaneous melanoma
17964,ACETAMINOPHEN,non-melanoma skin carcinoma
17968,FILGRASTIM,endometrial adenosquamous carcinoma
17970,NALOXONE,mycosis fungoides
17972,IMIQUIMOD,Extramammary Paget Disease
17979,PACLITAXEL,metastatic melanoma
17984,VINORELBINE,esophageal squamous cell carcinoma
17985,FLUOROURACIL,pancreatic adenosquamous carcinoma
17986,COBIMETINIB,melanoma
17987,INTERFERON GAMMA-1B,melanoma
17991,VINBLASTINE,melanoma
17993,IRINOTECAN,pancreatic adenosquamous carcinoma
17994,IRINOTECAN,esophageal squamous cell carcinoma
